chromosome,length,centromere
1,247249719,124200000
2,242951149,93400000
3,199501827,91700000
4,191273063,50900000
5,180857866,47700000
6,170899992,60500000
7,158821424,58900000
8,146274826,45200000
9,140273252,50600000
10,135374737,40300000
11,134452384,52900000
12,132349534,35400000
13,114142980,16000000
14,106368585,15600000
15,100338915,17000000
16,88827254,38200000
17,78774742,22200000
18,76117153,16100000
19,63811651,28500000
20,62435964,27100000
21,46944323,12300000
22,49691432,11800000
X,154913754,59400000
Y,57772954,0
